protein, frequency
A0A024R6X1_CES2,1
A0A075B6L0_IGLC3,1
A0A087WVW2_IGHG3,3
P06331,1
A0A075B6R9,0
A0A087WSX4,1
A0A087WT59_TTR,7
P19823_ITIH2,1
A0A087WX49_IGLL5,0
A0A0A0MS15,0
A0A087WV47_IGHG1,0
A0A087WW89,4
P06753_2_TPM3,1
Q9Y6R7_FCGBP,0
A0A087WZH9,2
A0A087WZM2_RNASET2,0
A0A087WZW8,0
A0A087X130,1
A0A075B6P5,5
A0A087X2C0,3
Q06830_PRDX1,30
P13797_PLS3,3
A8K2U0_A2ML1,0
P08670_VIM,1
P15153_RAC2,9
P09429_HMGB1,11
P62258_YWHAE,0
B4E1Z4_CFB,1
B5MDF5_RAN,2
B7Z6Z4_MYL6,1
P06454_PTMA,4
P40925_3_MDH1,1
P51149_RAB7A,7
C9JC84_FGG,1
P19971_2_TYMP,2
Q9UG63_2_ABCF2,1
P30838_ALDH3A1,3
C9JV77_AHSG,3
O15145_ARPC3,3
CON__P00761,69
CON__P01966,0
CON__P02538_KRT6A,1
CON__P02768_1_ALB,3
P02769_BSA,23
CON__P08779_KRT16,0
CON__P13645_KRT10,5
CON__P13646_1,4
CON__P35527_KRT9,1
CON__P60712_ACTB,4
CON__Q3MHH8,7
O75083_WDR1,3
D6RF35_GC,2
E5RHG6_TBCA,12
E7EQR4_EZR,1
P02788_LTF,1
E7EX29_YWHAZ,0
P04406_GAPDH,3
P11413_2_G6PD,0
P55786_NPEPPS,0
O00764_PDXK,1
P0C0L5_C4B,6
P22079_LPO,2
P61160_2_ACTR2,0
Q14697_2_GANAB,1
P09382_LGALS1,2
P17858_PFKL,1
P06576_ATP5B,4
Q9NZL9_MAT2B,5
J3KPA1_CRISP3,0
P04075_2_ALDOA,0
P68431_HIST1H3A,0
O00299_CLIC1,5
O00391_QSOX1,2
O15511_2_ARPC5,1
O43707_ACTN4,5
O60888_2_CUTA,6
O75594_PGLYRP1,0
O95274_LYPD3,2
O95336_PGLS,7
P00330_ADH1,381
P00338_3_LDHA,0
P00450_CP,10
P00489_GPB,26
P00491_PNP,1
P00558_PGK1,1
P00738_HP,10
P00924_ENO1,3
P01008_SERPINC1,13
P01009_SERPINA1,1
P01023_A2M,2
P01024_C3,15
P01033_TIMP1,1
P01034_CST3,1
P01036_CST4,9
P01037_CST1,7
P01042_2_KNG1,1
P01591_IGJ,7
P01593,0
P01598,0
P01616,3
P01622,1
P01623,0
P01624,1
P06314_IGKV4_1,0
P01714,1
P01717,0
P01763,0
P01767,3
P01779,1
P01780,1
P01833_PIGR,4
P01859_IGHG2,4
P01861_IGHG4,0
P01876_IGHA1,1
P01877_IGHA2,1
P02647_APOA1,2
P02671_FGA,7
P02675_FGB,1
P02750_LRG1,7
P02753_RBP4,1
P02760_AMBP,5
P02763_ORM1,3
P02787_TF,3
P02790_HPX,1
P02814_SMR3B,4
P03973_SLPI,2
P04004_VTN,5
P04040_CAT,1
P04080_CSTB,0
P04083_ANXA1,7
P04196_HRG,1
P04217_A1BG,25
P04264_KRT1,3
P04280_PRB1,4
P04745_AMY1A,10
P04792_HSPB1,4
P04899_4_GNAI2,0
P05109_S100A8,0
P05164_3_MPO,1
P05386_RPLP1,9
P06396_GSN,1
P06702_S100A9,1
P06733_ENO1,2
A0A0A0MTS2_GPI,1
P06870_KLK1,4
P07108_6_DBI,2
P07237_P4HB,0
P07339_CTSD,5
P07737_PFN1,1
P07858_CTSB,1
P07900_2_HSP90AA1,3
P07996_THBS1,2
P08107_HSPA1A,2
P08238_HSP90AB1,1
P08246_ELANE,3
P08311_CTSG,1
P08571_CD14,4
P08603_CFH,3
P09211_GSTP1,2
P09228_CST2,12
P09960_LTA4H,10
P0C0S8_HIST1H2AG,1
P10412_HIST1H1E,4
P10599_TXN,2
P10909_2_CLU,0
P11021_HSPA5,15
P11142_HSPA8,33
P11215_2_ITGAM,1
P12273_PIP,6
P12429_ANXA3,6
P12814_3_ACTN1,3
P13688_CEACAM1,9
P13796_LCP1,1
P14174_MIF,1
P14550_AKR1A1,2
P14618_PKM2,0
P14780_MMP9,1
P16401_HIST1H1B,1
P16402_HIST1H1D,0
P16403_HIST1H1C,1
P17174_GOT1,3
P17931_LGALS3,1
P18510_2_IL1RN,1
P18669_PGAM1,1
P19961_AMY2B,6
P20061_TCN1,0
P20160_AZU1,0
P20618_PSMB1,6
P21333_FLNA,2
P22314_UBA1,3
Q32Q12_NME1_NME2,9
P22532_SPRR2D,4
P22894_MMP8,0
P23280_CA6,6
P23284_PPIB,0
P23381_WARS,2
E9PK25_CFL1,1
P24158_PRTN3,1
P25311_AZGP1,3
P26038_MSN,0
P28325_CST5,1
P29401_2_TKT,0
P29508_SERPINB3,0
P30044_PRDX5,8
P30101_PDIA3,3
P30740_SERPINB1,0
P31025_LCN1,12
P31146_CORO1A,3
P31151_S100A7,1
P31946_2,4
P31947_SFN,1
P31949_S100A11,7
P32926_DSG3,0
P35321_SPRR1A,1
P35579_MYH9,0
P36952_SERPINB5,0
P37802_2_TAGLN2,2
P37837_TALDO1,2
P40121_CAPG,4
B1AK88_CAPZB,6
P50395_GDI2,1
P52209_PGD,1
P52566_ARHGDIB,2
P52907_CAPZA1,0
P53634_CTSC,7
P55058_PLTP,6
P59665_DEFA1,0
P59998_3_ARPC4,1
P60174_TPI1,3
P61158_ACTR3,0
P61586_RHOA,1
P61626_LYZ,2
P61769_B2M,1
P62328_TMSB4X,2
P62805_HIST1H4A,6
P62937_PPIA,2
P62942_FKBP1A,2
P63261_ACTG1,0
P63313_TMSB10,5
