N,acc_nsc,acc_svm,acc_tree,acc_naive_bayes,groups
2,0.926666666667,0.82,0.4,0.853333333333,P00330_ADH1,P04217_A1BG
2,0.893333333333,0.4,0.846666666667,0.926666666667,CON__P00761,P00330_ADH1
2,0.933333333333,0.853333333333,0.813333333333,0.5,CON__P13645_KRT10,P00330_ADH1
2,0.333333333333,0.773333333333,0.333333333333,0.926666666667,P00330_ADH1,P11142_HSPA8
3,0.5,0.9,0.8,0.813333333333,P00330_ADH1,P14174_MIF,P31025_LCN1
3,0.4,0.926666666667,0.5,0.813333333333,P00330_ADH1,P01717,Q9BRA2_TXNDC17
3,0.5,0.333333333333,0.5,0.9,P15153_RAC2,P00330_ADH1,P18669_PGAM1
3,0.5,0.4,0.926666666667,0.853333333333,Q06830_PRDX1,P00330_ADH1,P07996_THBS1
3,0.5,0.5,0.926666666667,0.866666666667,P02769_BSA,O60888_2_CUTA,P01591_IGJ
3,0.5,0.74,0.4,0.9,A0A087WW89,CON__Q3MHH8,P00330_ADH1
3,0.926666666667,0.78,0.886666666667,0.5,Q9UG63_2_ABCF2,P00330_ADH1,P02750_LRG1
3,0.2,0.7,0.9,0.82,P00330_ADH1,P01717,Q8N4F0_BPIFB2
3,0.773333333333,0.4,0.4,0.92,Q06830_PRDX1,P00330_ADH1,P06870_KLK1
3,0.4,0.5,0.5,0.9,P09429_HMGB1,P00330_ADH1,Q9HC84_MUC5B
3,0.926666666667,0.5,0.773333333333,0.926666666667,CON__P00761,P00330_ADH1,P07108_6_DBI
3,0.933333333333,0.5,0.88,0.4,Q06830_PRDX1,P00330_ADH1,P05386_RPLP1
3,0.933333333333,0.5,0.773333333333,0.5,CON__P00761,E5RHG6_TBCA,P00489_GPB
3,0.0,0.9,0.733333333333,0.4,P00330_ADH1,P03973_SLPI,Q02413_DSG1
3,0.766666666667,0.78,0.88,0.926666666667,Q06830_PRDX1,P00330_ADH1,P04899_4_GNAI2
3,0.926666666667,0.4,0.82,0.846666666667,P00330_ADH1,P02750_LRG1,H0YBX6_UBE2V2
3,0.4,0.933333333333,0.773333333333,0.846666666667,P00330_ADH1,P11142_HSPA8,P59998_3_ARPC4
3,0.733333333333,0.733333333333,0.5,0.926666666667,P15153_RAC2,P00330_ADH1,P11021_HSPA5
3,0.813333333333,0.4,0.813333333333,0.92,CON__P00761,P00330_ADH1,P05164_3_MPO
3,0.5,0.8,0.4,0.92,A0A087WW89,P00330_ADH1,P11142_HSPA8
3,0.82,0.4,0.82,0.933333333333,Q06830_PRDX1,P00330_ADH1,P04217_A1BG
3,0.5,0.86,0.806666666667,0.926666666667,P00330_ADH1,P09960_LTA4H,Q32Q12_NME1_NME2
3,0.92,0.333333333333,0.5,0.846666666667,P00330_ADH1,P01008_SERPINC1,Q8TAX7_MUC7
3,0.5,0.78,0.4,0.96,P00330_ADH1,P11142_HSPA8,B1AK88_CAPZB
3,0.966666666667,0.4,0.7,0.853333333333,P00330_ADH1,P01008_SERPINC1,Q68D86_CCDC102B
3,0.82,0.333333333333,0.933333333333,0.86,P15153_RAC2,P00330_ADH1,P08311_CTSG
3,0.893333333333,0.4,0.886666666667,0.926666666667,CON__P00761,P00330_ADH1,P04083_ANXA1
3,0.4,0.333333333333,0.5,0.933333333333,P09429_HMGB1,P02769_BSA,P01023_A2M
3,0.96,0.74,0.4,0.853333333333,CON__Q3MHH8,O00299_CLIC1,P00330_ADH1
3,0.5,0.9,0.333333333333,0.766666666667,Q14697_2_GANAB,P00330_ADH1,Q8TDL5_BPIFB1
3,0.4,0.746666666667,0.5,0.926666666667,P00330_ADH1,P04196_HRG,P30044_PRDX5
3,0.5,0.706666666667,0.846666666667,0.9,P09429_HMGB1,P00330_ADH1,Q08380_LGALS3BP
3,0.333333333333,0.5,0.813333333333,0.9,CON__P00761,P00330_ADH1,P04040_CAT
3,0.886666666667,0.5,0.5,0.926666666667,CON__P00761,P00330_ADH1,P04004_VTN
3,0.82,0.5,0.5,0.926666666667,P09429_HMGB1,P02769_BSA,P00738_HP
3,0.666666666667,0.92,0.846666666667,0.74,C9JV77_AHSG,P00330_ADH1,P12814_3_ACTN1
3,0.5,0.706666666667,0.2,0.9,P00330_ADH1,P02750_LRG1,P63313_TMSB10
3,0.886666666667,0.5,0.853333333333,0.933333333333,CON__P00761,P00330_ADH1,P02763_ORM1
3,0.5,0.4,0.9,0.5,CON__P00761,P00489_GPB,Q08380_LGALS3BP
3,0.706666666667,0.9,0.333333333333,0.2,P00330_ADH1,P01033_TIMP1,P36952_SERPINB5
3,0.4,0.9,0.333333333333,0.886666666667,P00330_ADH1,P78417_GSTO1,Q9BRA2_TXNDC17
3,0.82,0.786666666667,0.773333333333,0.92,A0A024R6X1_CES2,P00330_ADH1,H0YBX6_UBE2V2
3,0.166666666667,0.5,0.5,0.926666666667,CON__Q3MHH8,P00330_ADH1,H0YBX6_UBE2V2
3,0.813333333333,0.78,0.5,0.9,P15153_RAC2,E5RHG6_TBCA,P00330_ADH1
3,0.926666666667,0.333333333333,0.853333333333,0.886666666667,CON__P00761,P00330_ADH1,P02671_FGA
3,0.846666666667,0.82,0.5,0.926666666667,A0A087WVW2_IGHG3,CON__P13645_KRT10,P00330_ADH1
3,0.4,0.846666666667,0.82,0.933333333333,P00330_ADH1,P09960_LTA4H,P11142_HSPA8
3,0.4,0.853333333333,0.4,0.96,P00330_ADH1,P20618_PSMB1,P53634_CTSC
3,0.733333333333,0.4,0.92,0.5,P00330_ADH1,P00738_HP,Q08380_LGALS3BP
3,0.9,0.5,0.82,0.5,P00330_ADH1,P31946_2,Q01469_FABP5
3,0.4,0.74,0.78,0.96,CON__Q3MHH8,P00330_ADH1,P63313_TMSB10
3,0.92,0.5,0.806666666667,0.933333333333,P00330_ADH1,P01036_CST4,P19961_AMY2B
3,0.4,0.74,0.5,0.9,P00330_ADH1,P18669_PGAM1,P53634_CTSC
3,0.786666666667,0.86,0.806666666667,0.926666666667,CON__P00761,P00330_ADH1,P01591_IGJ
3,0.853333333333,0.5,0.5,0.933333333333,Q06830_PRDX1,P00330_ADH1,P01024_C3
3,0.813333333333,0.5,0.893333333333,0.9,P00330_ADH1,P12429_ANXA3,P31947_SFN
3,0.826666666667,0.813333333333,0.9,0.886666666667,P19971_2_TYMP,CON__P00761,P00330_ADH1
3,0.82,0.773333333333,0.846666666667,0.92,CON__P00761,P17858_PFKL,P00330_ADH1
