Uniprot ID,Biological Process (GO),Cellular Component (GO),Gene,Protein,Selected CC,Top Enriched BP
P40926,carbohydrate metabolic process;cellular carbohydrate metabolic process;cellular metabolic process;gluconeogenesis;glucose metabolic process;internal protein amino acid acetylation;malate metabolic process;NADH metabolic process;oxaloacetate metabolic process;small molecule metabolic process;tricarboxylic acid cycle,mitochondrion;nucleus;plasma membrane,MDH2,Malate dehydrogenase - mitochondrial,plasma membrane,small molecule metabolic process
O75874,2-oxoglutarate metabolic process;cellular lipid metabolic process;female gonad development;glutathione metabolic process;glyoxylate cycle;isocitrate metabolic process;NADPH regeneration;response to oxidative stress;response to steroid hormone stimulus;small molecule metabolic process;tricarboxylic acid cycle,cytoplasm;cytosol;mitochondrion;peroxisome,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,mitochondrion,small molecule metabolic process
P11142,ATP catabolic process;axon guidance;chaperone mediated protein folding requiring cofactor;gene expression;membrane organization;mRNA metabolic process;mRNA processing;negative regulation of transcription - DNA-dependent;neurotransmitter secretion;post-Golgi vesicle-mediated transport;protein folding;protein refolding;regulation of cell cycle;response to unfolded protein;RNA metabolic process;RNA splicing;synaptic transmission;transcription - DNA-dependent;viral process,extracellular;cytosol;nucleus;plasma membrane,HSPA8,Heat shock cognate 71 kDa protein,extracellular,viral process
Q08380,cell adhesion;cellular defense response;receptor-mediated endocytosis;signal transduction,extracellular,LGALS3BP,Galectin-3-binding protein,extracellular,signal transduction
P62736,glomerular mesangial cell development;muscle contraction;regulation of blood pressure;response to virus;vascular smooth muscle contraction,cytoplasm;cytosol;extracellular,ACTA2,Actin - aortic smooth muscle,extracellular,response to virus
P31946,activation of MAPKK activity;apoptotic process;axon guidance;cytoplasmic sequestering of protein;epidermal growth factor receptor signaling pathway;Fc-epsilon receptor signaling pathway;fibroblast growth factor receptor signaling pathway;gene expression;hippo signaling cascade;innate immune response;insulin receptor signaling pathway;intrinsic apoptotic signaling pathway;MAPK cascade;membrane organization;mRNA metabolic process;negative regulation of protein dephosphorylation;negative regulation of transcription - DNA-dependent;neurotrophin TRK receptor signaling pathway;positive regulation of catalytic activity;positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;protein heterooligomerization;protein targeting;Ras protein signal transduction;RNA metabolic process;small GTPase mediated signal transduction,cytoplasm;cytosol;nucleus,YWHAB,14-3-3 protein beta/alpha,nucleus,innate immune response
P13639,cell death;cellular protein metabolic process;gene expression;positive regulation of gene expression;positive regulation of translation;translation;translational elongation,cytosol;nucleus,EEF2,Elongation factor 2,cytosol,cellular protein metabolic process
P02751,acute-phase response;angiogenesis;blood coagulation;calcium-independent cell-matrix adhesion;cell adhesion;cell-substrate junction assembly;extracellular matrix disassembly;extracellular matrix organization;leukocyte migration;peptide cross-linking;platelet activation;platelet degranulation;regulation of cell shape;response to wounding;substrate adhesion-dependent cell spreading,plasma membrane;extracellular;cytoplasm,FN1,Fibronectin,extracellular,blood coagulation
P01009,acute-phase response;blood coagulation;negative regulation of endopeptidase activity;platelet activation;platelet degranulation;regulation of proteolysis;response to chromate;response to cytokine stimulus;response to estradiol stimulus;response to hypoxia;response to lead ion;response to lipopolysaccharide;response to methanol;response to triglyceride,endoplasmic reticulum;extracellular;golgi apparatus,SERPINA1,Alpha-1-antitrypsin,extracellular,blood coagulation
P02652,acute inflammatory response;cellular lipid metabolic process;cholesterol efflux;cholesterol homeostasis;cholesterol metabolic process;diacylglycerol catabolic process;high-density lipoprotein particle assembly;high-density lipoprotein particle clearance;high-density lipoprotein particle remodeling;lipoprotein metabolic process;low-density lipoprotein particle remodeling;negative regulation of cholesterol import;negative regulation of cholesterol transport;negative regulation of cholesterol transporter activity;negative regulation of cytokine secretion involved in immune response;negative regulation of lipase activity;negative regulation of lipid catabolic process;negative regulation of very-low-density lipoprotein particle remodeling;organ regeneration;peptidyl-methionine modification;phosphatidylcholine biosynthetic process;phospholipid catabolic process;phospholipid efflux;phototransduction - visible light;positive regulation of catalytic activity;positive regulation of cholesterol esterification;positive regulation of interleukin-8 biosynthetic process;positive regulation of lipid catabolic process;protein folding;protein oxidation;regulation of intestinal cholesterol absorption;regulation of protein stability;response to drug;response to estrogen stimulus;response to glucocorticoid stimulus;response to glucose stimulus;retinoid metabolic process;reverse cholesterol transport;small molecule metabolic process;triglyceride metabolic process;triglyceride-rich lipoprotein particle remodeling;viral process,extracellular;cytosol;endosome;endoplasmic reticulum,APOA2,Apolipoprotein A-II,extracellular,small molecule metabolic process
