Uniprot ID,Biological Process (GO),Cellular Component (GO),Gene,Protein,Selected CC,Top Enriched BP
P34096,,,,,,
P02675,blood coagulation;cell-matrix adhesion;cellular protein complex assembly;cellular response to interleukin-1;cellular response to leptin stimulus;extracellular matrix organization;negative regulation of endothelial cell apoptotic process;negative regulation of extrinsic apoptotic signaling pathway via death domain receptors;platelet activation;platelet aggregation;platelet degranulation;positive regulation of ERK1 and ERK2 cascade;positive regulation of exocytosis;positive regulation of heterotypic cell-cell adhesion;positive regulation of peptide hormone secretion;positive regulation of protein secretion;positive regulation of substrate adhesion-dependent cell spreading;positive regulation of vasoconstriction;protein polymerization;response to calcium ion;signal transduction,extracellular;cytoplasm;plasma membrane,FGB,Fibrinogen beta chain,extracellular,blood coagulation
P01742,,,,,,
P01834,complement activation;complement activation - classical pathway;Fc-epsilon receptor signaling pathway;Fc-gamma receptor signaling pathway involved in phagocytosis;immune response;innate immune response;regulation of immune response;retina homeostasis,extracellular;plasma membrane,IGKC,Ig kappa chain C region,extracellular,innate immune response
Q08380,cell adhesion;cellular defense response;receptor-mediated endocytosis;signal transduction,extracellular,LGALS3BP,Galectin-3-binding protein,extracellular,signal transduction
P62988,,,,,,
P02766,extracellular matrix organization;phototransduction - visible light;retinoid metabolic process;retinol metabolic process;transport,cytoplasm;extracellular,TTR,Transthyretin,extracellular,extracellular matrix organization
Q9UHI8,heart trabecula formation;integrin-mediated signaling pathway;kidney development;negative regulation of cell proliferation;ovulation from ovarian follicle,extracellular;cytoplasm,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,extracellular,negative regulation of cell proliferation
P12277,cellular chloride ion homeostasis;cellular nitrogen compound metabolic process;creatine metabolic process;small molecule metabolic process;substantia nigra development,cytosol;mitochondrion,CKB,Creatine kinase B-type,mitochondrion,small molecule metabolic process
P61981,apoptotic process;cellular response to insulin stimulus;G2/M transition of mitotic cell cycle;intrinsic apoptotic signaling pathway;membrane organization;mitotic cell cycle;negative regulation of protein kinase activity;negative regulation of protein serine/threonine kinase activity;positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;protein targeting;regulation of neuron differentiation;regulation of signal transduction;regulation of synaptic plasticity,cytoplasm;cytosol,YWHAG,14-3-3 protein gamma,cytosol,membrane organization
